latitude,longitude,angle_deg
-22.713436159420006,-47.628559524926686,108.5
-22.71343691881261,-47.6285598043778,109.0
-22.713437675926787,-47.62856009100228,109.5
-22.713438430704873,-47.62856038477828,110.0
-22.713439183089385,-47.62856068568345,110.5
-22.713439933023032,-47.62856099369487,111.0
-22.713440680448702,-47.62856130878908,111.5
-22.713441425309473,-47.62856163094208,112.0
-22.713442167548628,-47.62856196012934,112.5
-22.713442907109634,-47.628562296325796,113.0
-22.713443643936177,-47.628562639505844,113.5
-22.71344437797214,-47.62856298964334,114.0
-22.71344510916163,-47.62856334671164,114.5
-22.713445837448955,-47.62856371068352,115.0
-22.71344656277866,-47.628564081531295,115.5
-22.713447285095505,-47.62856445922671,116.0
-22.713448004344485,-47.628564843740996,116.5
-22.713448720470826,-47.62856523504488,117.0
-22.713449433419992,-47.62856563310856,117.5
-22.71345014313769,-47.62856603790171,118.0
-22.713450849569867,-47.628566449393524,118.5
-22.71345155266273,-47.62856686755266,119.0
-22.713452252362735,-47.628567292347256,119.5
-22.713452948616602,-47.628567723744986,120.0
-22.7134536413713,-47.628568161712984,120.5
-22.713454330574077,-47.6285686062179,121.0
-22.71345501617245,-47.62856905722588,121.5
-22.713455698114203,-47.62856951470258,122.0
-22.71345637634741,-47.62856997861317,122.5
-22.713457050820413,-47.62857044892231,123.0
-22.713457721481852,-47.62857092559419,123.5
-22.713458388280657,-47.6285714085925,124.0
-22.71345905116604,-47.62857189788048,124.5
-22.71345971008753,-47.62857239342084,125.0
-22.71346036499494,-47.628572895175864,125.5
-22.7134610158384,-47.62857340310733,126.0
-22.71346166256835,-47.62857391717656,126.5
-22.713462305135526,-47.62857443734441,127.0
-22.713462943491006,-47.62857496357127,127.5
-22.71346357758617,-47.62857549581705,128.0
-22.713464207372734,-47.62857603404124,128.5
-22.713464832802735,-47.62857657820283,129.0
-22.713465453828544,-47.628577128260396,129.5
-22.713466070402866,-47.628577684172036,130.0
-22.71346668247875,-47.628578245895426,130.5
-22.713467290009582,-47.62857881338778,131.0
-22.713467892949094,-47.62857938660589,131.5
-22.713468491251376,-47.6285799655061,132.0
-22.71346908487086,-47.62858055004432,132.5
-22.713469673762336,-47.62858114017604,133.0
-22.713470257880967,-47.628581735856315,133.5
-22.713470837182264,-47.62858233703978,134.0
-22.713471411622116,-47.62858294368067,134.5
-22.71347198115677,-47.62858355573277,135.0
-22.713472545742857,-47.62858417314946,135.5
-22.713473105337382,-47.62858479588375,136.0
-22.71347365989773,-47.6285854238882,136.5
-22.71347420938167,-47.62858605711498,137.0
-22.713474753747356,-47.62858669551588,137.5
-22.71347529295333,-47.62858733904227,138.0
-22.713475826958533,-47.628587987645155,138.5
-22.713476355722293,-47.62858864127514,139.0
-22.71347687920435,-47.628589299882435,139.5
-22.713477397364834,-47.6285899634169,140.0
-22.713477910164283,-47.628590631828,140.5
-22.713478417563653,-47.62859130506483,141.0
-22.713478919524295,-47.62859198307612,141.5
-22.71347941600799,-47.628592665810245,142.0
-22.713479906976925,-47.6285933532152,142.5
-22.71348039239371,-47.62859404523864,143.0
-22.713480872221382,-47.628594741827875,143.5
-22.713481346423396,-47.62859544292985,144.0
-22.713481814963643,-47.62859614849117,144.5
-22.713482277806442,-47.6285968584581,145.0
-22.713482734916543,-47.628597572776584,145.5
-22.71348318625914,-47.62859829139222,146.0
-22.713483631799853,-47.628599014250284,146.5
-22.713484071504762,-47.62859974129573,147.0
-22.713484505340375,-47.628600472473174,147.5
-22.71348493327366,-47.62860120772696,148.0
-22.71348535527202,-47.62860194700107,148.5
-22.713485771303326,-47.62860269023923,149.0
-22.71348618133589,-47.62860343738481,149.5
-22.71348658533849,-47.62860418838094,150.0
-22.713486983280358,-47.628604943170416,150.5
-22.71348737513119,-47.62860570169576,151.0
-22.713487760861145,-47.6286064638992,151.5
-22.713488140440845,-47.62860722972271,152.0
-22.71348851384139,-47.628607999107956,152.5
-22.713488881034337,-47.62860877199634,153.0
-22.713489241991727,-47.62860954832902,153.5
-22.713489596686074,-47.62861032804686,154.0
-22.71348994509036,-47.62861111109049,154.5
-22.713490287178058,-47.628611897400276,155.0
-22.713490622923114,-47.62861268691634,155.5
-22.71349095229996,-47.628613479578554,156.0
-22.713491275283516,-47.628614275326555,156.5
-22.71349159184918,-47.62861507409975,157.0
-22.713491901972848,-47.62861587583729,157.5
-22.713492205630903,-47.628616680478146,158.0
-22.71349250280022,-47.628617487961016,158.5
-22.713492793458165,-47.62861829822443,159.0
-22.71349307758261,-47.62861911120667,159.5
-22.71349335515191,-47.62861992684582,160.0
-22.71349362614493,-47.62862074507978,160.5
-22.713493890541038,-47.628621565846224,161.0
-22.713494148320095,-47.62862238908266,161.5
-22.713494399462466,-47.62862321472639,162.0
-22.71349464394903,-47.628624042714534,162.5
-22.71349488176117,-47.62862487298404,163.0
-22.713495112880775,-47.628625705471684,163.5
-22.71349533729024,-47.62862654011406,164.0
-22.71349555497248,-47.628627376847625,164.5
-22.713495765910913,-47.628628215608636,165.0
-22.713495970089483,-47.62862905633323,165.5
-22.713496167492632,-47.628629898957385,166.0
-22.713496358105335,-47.62863074341693,166.5
-22.71349654191307,-47.62863158964755,167.0
-22.71349671890184,-47.6286324375848,167.5
-22.71349688905817,-47.628633287164114,168.0
-22.7134970523691,-47.6286341383208,168.5
-22.713497208822194,-47.628634990990015,169.0
-22.713497358405537,-47.62863584510685,169.5
-22.71349750110774,-47.62863670060624,170.0
-22.71349763691793,-47.62863755742306,170.5
-22.713497765825768,-47.628638415492034,171.0
-22.713497887821436,-47.62863927474784,171.5
-22.713498002895644,-47.628640135125025,172.0
-22.713498111039634,-47.62864099655807,172.5
-22.71349821224516,-47.62864185898138,173.0
-22.713498306504523,-47.628642722329275,173.5
-22.713498393810543,-47.628643586536015,174.0
-22.71349847415657,-47.62864445153577,174.5
-22.713498547536485,-47.62864531726269,175.0
-22.7134986139447,-47.62864618365082,175.5
-22.71349867337616,-47.62864705063421,176.0
-22.713498725826337,-47.628647918146804,176.5
-22.71349877129124,-47.62864878612257,177.0
-22.713498809767398,-47.62864965449538,177.5
-22.71349884125189,-47.62865052319913,178.0
-22.713498865742316,-47.62865139216764,178.5
-22.71349888323681,-47.62865226133476,179.0
-22.713498893734037,-47.62865313063428,179.5
