"ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad				";;;;;;;;;;;
"82	1	-22.713.400.488.719.300	-47.628.460.563.719.200	54.087.890.625	2025-04-23T18:16:39Z																								";;;;;;;;;;;
"83	1	-22.713.479.194.790.100	-47.628.487.218.171.300	54.087.890.625	2025-04-23T18:16:44Z																								";;;;;;;;;;;
"84	1	-22.713.500.484.824.100	-47.628.569.528.460.500	5.413.594.970.703.120	2025-04-23T18:16:49Z																								";;;;;;;;;;;
"85	1	-22.713.460.922.241.200	-47.628.641.109.913.500	54.087.890.625	2025-04-23T18:16:54Z																								";;;;;;;;;;;
"86	1	-22.713.375.678.285.900	-47.628.637.170.419.000	54.087.890.625	2025-04-23T18:16:59Z																								";;;;;;;;;;;
"87	1	-22.713.318.765.163.400	-47.628.571.288.660.100	54.087.890.625	2025-04-23T18:17:04Z																								";;;;;;;;;;;
"88	1	-22.713.335.696.607.800	-47.628.493.923.693.800	5.399.176.025.390.620	2025-04-23T18:17:09Z																								";;;;;;;;;;;
"89	1	-22.713.414.570.316.600	-47.628.460.396.081.200	5.399.176.025.390.620	2025-04-23T18:17:14Z																								";;;;;;;;;;;
"90	1	-22.713.489.169.254.800	-4.762.850.146.740.670	5.403.983.154.296.870	2025-04-23T18:17:19Z																								";;;;;;;;;;;
"91	1	-22.713.494.952.768.000	-47.628.584.867.343.300	5.403.983.154.296.870	2025-04-23T18:17:24Z																								";;;;;;;;;;;
"92	1	-22.713.446.756.824.800	-47.628.649.743.273.800	54.087.890.625	2025-04-23T18:17:29Z																								";;;;;;;;;;;
"93	1	-22.713.360.926.136.300	-47.628.633.482.381.700	54.087.890.625	2025-04-23T18:17:34Z																								";;;;;;;;;;;
"94	1	-22.713.316.418.230.500	-47.628.556.368.872.500	5.399.176.025.390.620	2025-04-23T18:17:39Z																								";;;;;;;;;;;
"95	1	-22.713.349.359.109.900	-47.628.476.154.059.100	5.399.176.025.390.620	2025-04-23T18:17:44Z																								";;;;;;;;;;;
"96	1	-22.713.431.250.303.900	-47.628.460.060.805.000	5.399.176.025.390.620	2025-04-23T18:17:49Z																								";;;;;;;;;;;
"97	1	-22.713.495.874.777.400	-47.628.519.907.593.700	5.403.983.154.296.870	2025-04-23T18:17:54Z																								";;;;;;;;;;;
"98	1	-22.713.492.857.292.200	-47.628.597.188.740.900	5.403.983.154.296.870	2025-04-23T18:17:59Z																								";;;;;;;;;;;
"99	1	-22.713.424.544.781.400	-47.628.651.252.016.400	5.399.176.025.390.620	2025-04-23T18:18:04Z																								";;;;;;;;;;;
"100	1	-22.713.348.520.919.600	-47.628.623.005.002.700	5.394.368.896.484.370	2025-04-23T18:18:09Z																								";;;;;;;;;;;
"101	1	-22.713.317.507.877.900	-47.628.537.090.495.200	5.394.368.896.484.370	2025-04-23T18:18:14Z																								";;;;;;;;;;;
"102	1	-22.713.360.758.498.300	-47.628.467.939.794.000	5.394.368.896.484.370	2025-04-23T18:18:19Z																								";;;;;;;;;;;
"103	1	-2.271.344.474.516.800	-47.628.464.922.308.900	5.399.176.025.390.620	2025-04-23T18:18:24Z																								";;;;;;;;;;;
"104	1	-22.713.501.323.014.400	-47.628.529.295.325.200	5.399.176.025.390.620	2025-04-23T18:18:29Z																								";;;;;;;;;;;
"105	1	-22.713.483.385.741.700	-47.628.618.478.775.000	5.399.176.025.390.620	2025-04-23T18:18:34Z																								";;;;;;;;;;;
"106	1	-22.713.408.702.984.400	-47.628.655.945.882.200	5.399.176.025.390.620	2025-04-23T18:18:39Z																								";;;;;;;;;;;
"107	1	-22.713.340.558.111.600	-47.628.605.151.548.900	5.403.983.154.296.870	2025-04-23T18:18:44Z																								";;;;;;;;;;;
"108	1	-22.713.323.961.943.300	-47.628.520.661.965.000	5.399.176.025.390.620	2025-04-23T18:18:49Z																								";;;;;;;;;;;
"109	1	-2.271.338.514.983.650	-47.628.459.138.795.700	5.403.983.154.296.870	2025-04-23T18:18:54Z																								";;;;;;;;;;;
"110	1	-22.713.466.035.202.100	-47.628.468.861.803.400	5.403.983.154.296.870	2025-04-23T18:18:59Z																								";;;;;;;;;;;
"111	1	-22.713.508.196.175.000	-47.628.541.029.989.700	54.087.890.625	2025-04-23T18:19:04Z																								";;;;;;;;;;;
"112	1	-22.713.479.110.971.000	-476.286.231.726.408	54.087.890.625	2025-04-23T18:19:09Z																								";;;;;;;;;;;
"113	1	-22.713.400.237.262.200	-47.628.646.893.426.700	5.403.983.154.296.870	2025-04-23T18:19:14Z																								";;;;;;;;;;;
"114	1	-22.713.331.338.018.100	-47.628.590.064.123.200	5.394.368.896.484.370	2025-04-23T18:19:19Z																								";;;;;;;;;;;
"115	1	-22.713.325.135.409.800	-47.628.508.508.205.400	5.403.983.154.296.870	2025-04-23T18:19:24Z																								";;;;;;;;;;;
"116	1	-22.713.391.100.987.700	-47.628.457.127.138.900	5.403.983.154.296.870	2025-04-23T18:19:29Z																								";;;;;;;;;;;
"117	1	-22.713.476.344.943.000	-47.628.488.894.551.900	54.087.890.625	2025-04-23T18:19:34Z																								";;;;;;;;;;;
"118	1	-2.271.350.434.049.960	-47.628.559.805.452.800	54.087.890.625	2025-04-23T18:19:39Z																								";;;;;;;;;;;
"119	1	-22.713.452.037.423.800	-4.762.863.582.931.450	5.403.983.154.296.870	2025-04-23T18:19:44Z																								";;;;;;;;;;;
"120	1	-22.713.369.894.772.700	-47.628.639.601.171.000	5.399.176.025.390.620	2025-04-23T18:19:49Z																								";;;;;;;;;;;
"121	1	-22.713.315.831.497.300	-47.628.577.407.449.400	5.399.176.025.390.620	2025-04-23T18:19:54Z																								";;;;;;;;;;;
"122	1	-22.713.326.057.419.100	-47.628.500.042.483.200	5.403.983.154.296.870	2025-04-23T18:19:59Z																								";;;;;;;;;;;
"123	1	-22.713.407.697.156.000	-47.628.457.043.319.900	5.403.983.154.296.870	2025-04-23T18:20:04Z																								";;;;;;;;;;;
"124	1	-22.713.478.691.875.900	-47.628.494.258.970.000	5.399.176.025.390.620	2025-04-23T18:20:09Z																								";;;;;;;;;;;
"125	1	-22.713.495.790.958.400	-47.628.580.341.115.500	5.403.983.154.296.870	2025-04-23T18:20:14Z																								";;;;;;;;;;;
"126	1	-22.713.442.230.597.100	-47.628.645.217.046.100	5.399.176.025.390.620	2025-04-23T18:20:19Z																								";;;;;;;;;;;
"127	1	-2.271.336.411.125.950	-47.628.635.242.581.300	5.403.983.154.296.870	2025-04-23T18:20:24Z																								";;;;;;;;;;;
"128	1	-22.713.320.106.267.900	-47.628.554.776.310.900	5.399.176.025.390.620	2025-04-23T18:20:29Z																								";;;;;;;;;;;
"129	1	-22.713.341.983.035.200	-47.628.475.315.868.800	5.399.176.025.390.620	2025-04-23T18:20:34Z																								";;;;;;;;;;;
"130	1	-227.134.252.153.337	-47.628.458.552.062.500	54.087.890.625	2025-04-23T18:20:39Z																								";;;;;;;;;;;
"131	1	-22.713.492.438.197.100	-47.628.513.453.528.200	5.413.594.970.703.120	2025-04-23T18:20:44Z																								";;;;;;;;;;;
"132	1	-22.713.492.941.111.300	-47.628.597.104.921.900	5.413.594.970.703.120	2025-04-23T18:20:49Z																								";;;;;;;;;;;
"133	1	-22.713.436.027.988.700	-47.628.648.821.264.500	5.413.594.970.703.120	2025-04-23T18:20:54Z																								";;;;;;;;;;;
"134	1	-22.713.353.130.966.400	-47.628.624.178.469.100	5.403.983.154.296.870	2025-04-23T18:20:59Z																								";;;;;;;;;;;
"135	1	-2.271.331.868.134.430	-47.628.545.723.855.400	54.087.890.625	2025-04-23T18:21:04Z																								";;;;;;;;;;;
"136	1	-22.713.365.787.640.200	-47.628.462.156.280.800	54.087.890.625	2025-04-23T18:21:09Z																								";;;;;;;;;;;
"137	1	-22.713.447.259.739.000	-47.628.456.121.310.500	5.418.402.099.609.370	2025-04-23T18:21:14Z																								";;;;;;;;;;;
"138	1	-22.713.506.100.699.300	-47.628.516.890.108.500	5.418.402.099.609.370	2025-04-23T18:21:19Z																								";;;;;;;;;;;
"139	1	-22.713.495.958.596.400	-47.628.605.989.739.200	5.423.209.228.515.620	2025-04-23T18:21:24Z																								";;;;;;;;;;;
"140	1	-22.713.420.270.010.800	-47.628.653.682.768.300	5.413.594.970.703.120	2025-04-23T18:21:29Z																								";;;;;;;;;;;
"141	1	-2.271.334.508.433.930	-47.628.613.030.537.900	5.413.594.970.703.120	2025-04-23T18:21:34Z																								";;;;;;;;;;;
"142	1	-2.271.331.231.109.790	-47.628.526.529.297.200	5.418.402.099.609.370	2025-04-23T18:21:39Z																								";;;;;;;;;;;
"143	1	-22.713.372.660.800.800	-47.628.463.581.204.400	5.413.594.970.703.120	2025-04-23T18:21:44Z																								";;;;;;;;;;;
"144	1	-22.713.456.396.013.400	-47.628.472.046.926.600	5.423.209.228.515.620	2025-04-23T18:21:49Z																								";;;;;;;;;;;
"145	1	-22.713.502.580.299.900	-47.628.544.131.293.800	5.423.209.228.515.620	2025-04-23T18:21:54Z																								";;;;;;;;;;;
"146	1	-22.713.479.530.066.200	-47.628.621.580.079.100	542.801.513.671.875	2025-04-23T18:21:59Z																								";;;;;;;;;;;
"147	1	-22.713.395.543.396.400	-47.628.647.144.883.800	5.423.209.228.515.620	2025-04-23T18:22:04Z																								";;;;;;;;;;;
"148	1	-22.713.329.829.275.600	-47.628.596.015.274.500	5.418.402.099.609.370	2025-04-23T18:22:09Z																								";;;;;;;;;;;
"149	1	-22.713.323.710.486.200	-47.628.511.441.871.500	5.413.594.970.703.120	2025-04-23T18:22:14Z																								";;;;;;;;;;;
"150	1	-22.713.387.161.493.300	-4.762.845.846.824.340	5.418.402.099.609.370	2025-04-23T18:22:19Z																								";;;;;;;;;;;
"151	1	-22.713.471.231.982.100	-47.628.479.339.182.300	5.423.209.228.515.620	2025-04-23T18:22:24Z																								";;;;;;;;;;;
"152	1	-22.713.502.328.842.800	-47.628.555.279.225.100	5.418.402.099.609.370	2025-04-23T18:22:29Z																								";;;;;;;;;;;
"153	1	-22.713.460.670.784.100	-47.628.638.008.609.400	5.413.594.970.703.120	2025-04-23T18:22:34Z																								";;;;;;;;;;;
"154	1	-22.713.380.958.884.900	-47.628.649.407.997.700	54.087.890.625	2025-04-23T18:22:39Z																								";;;;;;;;;;;
"155	1	-2.271.331.625.059.240	-47.628.587.298.095.200	54.087.890.625	2025-04-23T18:22:44Z																								";;;;;;;;;;;
"156	1	-22.713.329.745.456.500	-47.628.499.707.207.000	5.403.983.154.296.870	2025-04-23T18:22:49Z																								";;;;;;;;;;;
"157	1	-22.713.402.416.557.000	-47.628.460.563.719.200	5.413.594.970.703.120	2025-04-23T18:22:54Z																								";;;;;;;;;;;
"158	1	-22.713.481.457.903.900	-47.628.502.724.692.200	5.418.402.099.609.370	2025-04-23T18:22:59Z																								";;;;;;;;;;;
"159	1	-22.713.500.820.100.300	-47.628.582.855.686.500	5.418.402.099.609.370	2025-04-23T18:23:04Z																								";;;;;;;;;;;
"160	1	-22.713.452.875.614.100	-47.628.640.858.456.400	5.423.209.228.515.620	2025-04-23T18:23:09Z																								";;;;;;;;;;;
"161	1	-22.713.364.865.630.800	-4.762.863.633.222.870	5.413.594.970.703.120	2025-04-23T18:23:14Z																								";;;;;;;;;;;
"162	1	-2.271.331.675.350.660	-47.628.557.961.434.100	54.087.890.625	2025-04-23T18:23:19Z																								";;;;;;;;;;;
"163	1	-2.271.334.164.775.900	-47.628.483.027.219.700	54.087.890.625	2025-04-23T18:23:24Z																								";;;;;;;;;;;
"164	1	-22.713.419.180.363.400	-4.762.845.654.040.570	5.413.594.970.703.120	2025-04-23T18:23:29Z																								";;;;;;;;;;;
"165	1	-22.713.490.929.454.500	-47.628.498.701.378.700	54.087.890.625	2025-04-23T18:23:34Z																								";;;;;;;;;;;
"166	1	-22.713.485.145.941.300	-47.628.593.584.522.600	5.413.594.970.703.120	2025-04-23T18:23:39Z																								";;;;;;;;;;;
"167	1	-22.713.417.420.163.700	-47.628.650.078.549.900	5.403.983.154.296.870	2025-04-23T18:23:44Z																								";;;;;;;;;;;
"168	1	-22.713.339.971.378.400	-47.628.618.059.679.800	5.399.176.025.390.620	2025-04-23T18:23:49Z																								";;;;;;;;;;;
"169	1	-2.271.331.868.134.430	-47.628.524.266.183.300	5.399.176.025.390.620	2025-04-23T18:23:54Z																								";;;;;;;;;;;
"170	1	-22.713.390.095.159.400	-47.628.457.210.958.000	5.399.176.025.390.620	2025-04-23T18:23:59Z																								";;;;;;;;;;;
"171	1	-2.271.347.600.966.690	-47.628.481.099.382.000	5.403.983.154.296.870	2025-04-23T18:24:04Z																								";;;;;;;;;;;
"172	1	-22.713.504.256.680.600	-47.628.557.877.615.000	54.087.890.625	2025-04-23T18:24:09Z																								";;;;;;;;;;;
"173	1	-22.713.473.578.915	-47.628.632.476.553.300	54.087.890.625	2025-04-23T18:24:14Z																								";;;;;;;;;;;
"174	1	-22.713.401.662.185.700	-47.628.660.388.290.800	5.399.176.025.390.620	2025-04-23T18:24:19Z																								";;;;;;;;;;;
"175	1	-22.713.349.442.929.000	-47.628.631.386.905.900	5.399.176.025.390.620	2025-04-23T18:24:24Z																								";;;;;;;;;;;
"176	1	-22.713.321.028.277.200	-47.628.594.087.436.700	5.399.176.025.390.620	2025-04-23T18:24:29Z																								";;;;;;;;;;;
"177	1	-22.713.315.077.126.000	-47.628.559.218.719.600	5.399.176.025.390.620	2025-04-23T18:24:34Z																								";;;;;;;;;;;
"178	1	-22.713.322.704.657.900	-47.628.520.159.050.800	538.956.298.828.125	2025-04-23T18:24:39Z																								";;;;;;;;;;;
"179	1	-22.713.341.731.578.100	-47.628.499.623.388.000	538.956.298.828.125	2025-04-23T18:24:44Z																								";;;;;;;;;;;
"180	1	-22.713.369.391.858.500	-47.628.485.206.514.500	5.399.176.025.390.620	2025-04-23T18:24:49Z																								";;;;;;;;;;;
"181	1	-22.713.399.650.529.000	-47.628.468.610.346.300	5.399.176.025.390.620	2025-04-23T18:24:54Z																								";;;;;;;;;;;
"182	1	-22.713.436.866.179.100	-47.628.470.119.088.800	5.403.983.154.296.870	2025-04-23T18:24:59Z																								";;;;;;;;;;;
"183	1	-22.713.465.113.192.700	-47.628.484.619.781.300	54.087.890.625	2025-04-23T18:25:04Z																								";;;;;;;;;;;
"184	1	-22.713.482.715.189.400	-47.628.511.777.147.600	54.087.890.625	2025-04-23T18:25:09Z																								";;;;;;;;;;;
"185	1	-22.713.487.576.693.200	-47.628.538.012.504.500	54.087.890.625	2025-04-23T18:25:14Z																								";;;;;;;;;;;
"186	1	-22.713.490.761.816.500	-47.628.566.008.061.100	5.413.594.970.703.120	2025-04-23T18:25:19Z																								";;;;;;;;;;;
"187	1	-22.713.484.726.846.200	-47.628.601.714.968.600	5.413.594.970.703.120	2025-04-23T18:25:24Z																								";;;;;;;;;;;
"188	1	-22.713.469.387.963.400	-47.628.629.878.163.300	5.413.594.970.703.120	2025-04-23T18:25:29Z																								";;;;;;;;;;;
"189	1	-22.713.437.788.188.400	-47.628.649.156.540.600	5.403.983.154.296.870	2025-04-23T18:25:34Z																								";;;;;;;;;;;
"190	1	-22.713.409.960.269.900	-4.762.865.100.055.930	5.399.176.025.390.620	2025-04-23T18:25:39Z																								";;;;;;;;;;;
"191	1	-22.713.412.810.117.000	-47.628.649.994.730.900	5.403.983.154.296.870	2025-04-23T18:25:44Z																								";;;;;;;;;;;
"192	1	-22.713.412.474.840.800	-47.628.649.575.635.700	5.403.983.154.296.870	2025-04-23T18:25:50Z																								";;;;;;;;;;;
"193	1	-22.713.412.726.297.900	-47.628.649.072.721.600	5.403.983.154.296.870	2025-04-23T18:25:55Z																								";;;;;;;;;;;
"194	1	-22.713.412.726.297.900	-47.628.648.821.264.500	5.403.983.154.296.870	2025-04-23T18:26:00Z																								";;;;;;;;;;;
"195	1	-22.713.412.726.297.900	-4.762.864.856.980.740	5.403.983.154.296.870	2025-04-23T18:26:05Z																								";;;;;;;;;;;
