ID;trksegID;lat;lon;ele;time
171;1;-22.713.312.646.374.100;-47.628.496.019.169.600;545.204.833.984.375;2025-04-25T14:00:10Z
172;1;-22.713.462.263.345.700;-47.628.523.008.897.900;545.204.833.984.375;2025-04-25T14:00:15Z
173;1;-2.271.341.054.700.310;-47.628.672.709.688.500;545.204.833.984.375;2025-04-25T14:00:20Z
174;1;-22.713.285.489.007.800;-47.628.565.253.689.800;54.424.365.234.375;2025-04-25T14:00:25Z
175;1;-22.713.406.356.051.500;-47.628.467.353.060.800;54.424.365.234.375;2025-04-25T14:00:30Z
176;1;-22.713.460.084.050.800;-47.628.626.273.944.900;54.424.365.234.375;2025-04-25T14:00:35Z
177;1;-22.713.314.406.573.700;-47.628.634.488.210.000;54.424.365.234.375;2025-04-25T14:00:40Z
178;1;-22.713.344.916.701.300;-4.762.847.607.024.010;54.424.365.234.375;2025-04-25T14:00:45Z
179;1;-22.713.475.925.847.800;-47.628.553.435.206.400;54.424.365.234.375;2025-04-25T14:00:50Z
180;1;-22.713.376.432.657.200;-47.628.667.429.089.500;5.437.628.173.828.120;2025-04-25T14:00:55Z
181;1;-22.713.294.541.463.200;-47.628.526.361.659.100;54.424.365.234.375;2025-04-25T14:01:00Z
182;1;-22.713.436.111.807.800;-47.628.488.140.180.700;54.424.365.234.375;2025-04-25T14:01:05Z
183;1;-22.713.437.788.188.400;-47.628.661.394.119.200;54.424.365.234.375;2025-04-25T14:01:10Z
184;1;-2.271.329.035.051.160;-47.628.613.617.271.100;54.424.365.234.375;2025-04-25T14:01:15Z
185;1;-22.713.371.822.610.400;-47.628.478.333.353.900;5.447.242.431.640.620;2025-04-25T14:01:20Z
186;1;-22.713.474.333.286.200;-47.628.599.368.035.700;5.447.242.431.640.620;2025-04-25T14:01:25Z
187;1;-22.713.339.636.102.300;-47.628.676.313.906.900;54.424.365.234.375;2025-04-25T14:01:30Z
188;1;-22.713.308.371.603.400;-47.628.512.699.157;54.424.365.234.375;2025-04-25T14:01:35Z
189;1;-22.713.454.635.813.800;-47.628.528.708.592.000;54.424.365.234.375;2025-04-25T14:01:40Z
190;1;-22.713.398.896.157.700;-4.762.868.176.214.390;5.447.242.431.640.620;2025-04-25T14:01:45Z
191;1;-22.713.285.405.188.700;-47.628.580.508.753.600;545.204.833.984.375;2025-04-25T14:01:50Z
192;1;-22.713.403.506.204.400;-47.628.478.920.087.200;545.204.833.984.375;2025-04-25T14:01:55Z
