"ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad				"
"194	1	-22.713.406.356.051.500	-47.628.660.136.833.700	5.432.821.044.921.870	2025-04-25T12:23:31Z																								"
"195	1	-22.713.278.532.028.100	-47.628.578.497.096.800	5.437.628.173.828.120	2025-04-25T12:23:36Z																								"
"196	1	-22.713.381.629.437.200	-4.762.846.726.924.180	5.437.628.173.828.120	2025-04-25T12:23:41Z																								"
"197	1	-22.713.454.635.813.800	-47.628.608.336.672.100	5.437.628.173.828.120	2025-04-25T12:23:46Z																								"
"198	1	-22.713.316.166.773.400	-47.628.649.491.816.700	5.437.628.173.828.120	2025-04-25T12:23:51Z																								"
"199	1	-22.713.317.424.058.900	-47.628.493.504.598.700	5.432.821.044.921.870	2025-04-25T12:23:56Z																								"
"200	1	-22.713.447.259.739.000	-47.628.536.419.942.900	542.801.513.671.875	2025-04-25T12:24:01Z																								"
"201	1	-22.713.366.961.106.600	-47.628.668.267.279.800	5.437.628.173.828.120	2025-04-25T12:24:06Z																								"
"202	1	-22.713.275.011.628.800	-47.628.549.411.892.800	5.437.628.173.828.120	2025-04-25T12:24:11Z																								"
"203	1	-22.713.404.763.489.900	-4.762.848.143.465.810	5.432.821.044.921.870	2025-04-25T12:24:16Z																								"
"204	1	-22.713.434.183.970.000	-47.628.632.728.010.400	5.437.628.173.828.120	2025-04-25T12:24:21Z																								"
"205	1	-22.713.291.691.616.100	-47.628.617.892.041.800	5.437.628.173.828.120	2025-04-25T12:24:26Z																								"
"206	1	-22.713.352.628.052.200	-47.628.486.044.704.900	542.801.513.671.875	2025-04-25T12:24:31Z																								"
"207	1	-22.713.463.939.726.300	-47.628.580.844.029.700	542.801.513.671.875	2025-04-25T12:24:36Z																								"
"208	1	-22.713.344.329.968.000	-47.628.673.631.697.800	5.432.821.044.921.870	2025-04-25T12:24:41Z																								"
"209	1	-2.271.329.035.051.160	-47.628.520.159.050.800	5.432.821.044.921.870	2025-04-25T12:24:46Z																								"
"210	1	-22.713.434.519.246.200	-47.628.504.652.529.900	5.432.821.044.921.870	2025-04-25T12:24:51Z																								"
"211	1	-22.713.409.038.260.500	-4.762.865.737.080.570	54.424.365.234.375	2025-04-25T12:24:56Z																								"
"212	1	-22.713.276.017.457.200	-47.628.591.824.322.900	54.424.365.234.375	2025-04-25T12:25:01Z																								"
"213	1	-22.713.372.660.800.800	-4.762.847.657.315.430	5.437.628.173.828.120	2025-04-25T12:25:06Z																								"
"214	1	-22.713.452.037.423.800	-4.762.861.093.506.210	5.432.821.044.921.870	2025-04-25T12:25:11Z																								"
"215	1	-22.713.308.120.146.300	-47.628.656.700.253.400	5.437.628.173.828.120	2025-04-25T12:25:16Z																								"
"216	1	-22.713.311.975.821.800	-47.628.495.516.255.400	5.437.628.173.828.120	2025-04-25T12:25:21Z																								"
"217	1	-22.713.444.661.349.000	-47.628.535.162.657.400	5.437.628.173.828.120	2025-04-25T12:25:26Z																								"
"218	1	-2.271.337.098.442.010	-4.762.867.740.355.430	5.437.628.173.828.120	2025-04-25T12:25:31Z																								"
"219	1	-22.713.274.089.619.500	-47.628.567.013.889.500	5.437.628.173.828.120	2025-04-25T12:25:36Z																								"
"220	1	-22.713.398.560.881.600	-47.628.487.134.352.300	5.432.821.044.921.870	2025-04-25T12:25:41Z																								"
"221	1	-22.713.434.938.341.300	-47.628.641.026.094.500	5.437.628.173.828.120	2025-04-25T12:25:46Z																								"
"222	1	-22.713.284.399.360.400	-47.628.632.392.734.200	54.424.365.234.375	2025-04-25T12:25:51Z																								"
"223	1	-22.713.328.320.533.000	-47.628.476.489.335.200	5.437.628.173.828.120	2025-04-25T12:25:56Z																								"
"224	1	-22.713.452.456.519.000	-47.628.562.403.842.800	5.437.628.173.828.120	2025-04-25T12:26:01Z																								"
"225	1	-22.713.341.983.035.200	-47.628.666.842.356.300	54.424.365.234.375	2025-04-25T12:26:06Z																								"
"226	1	-22.713.278.867.304.300	-47.628.521.919.250.400	5.432.821.044.921.870	2025-04-25T12:26:11Z																								"
"227	1	-22.713.435.525.074.600	-47.628.498.198.464.500	5.418.402.099.609.370	2025-04-25T12:26:16Z																								"
"228	1	-22.713.417.503.982.700	-47.628.655.191.510.900	5.423.209.228.515.620	2025-04-25T12:26:21Z																								"
"229	1	-22.713.282.136.246.500	-4.762.859.970.331.190	542.801.513.671.875	2025-04-25T12:26:26Z																								"
