latitude,longitude,angle_deg
-22.713440370402868,-47.62849138418636,130.0
-22.71344098247875,-47.628491945909644,130.5
-22.713441590009584,-47.628492513401895,131.0
-22.713442192949095,-47.6284930866199,131.5
-22.713442791251378,-47.62849366552,132.0
-22.71344338487086,-47.62849425005811,132.5
-22.713443973762338,-47.62849484018972,133.0
-22.71344455788097,-47.62849543586988,133.5
-22.713445137182266,-47.62849603705324,134.0
-22.713445711622118,-47.62849664369401,134.5
-22.71344628115677,-47.62849725574599,135.0
-22.713446845742858,-47.62849787316257,135.5
-22.713447405337384,-47.62849849589674,136.0
-22.71344795989773,-47.62849912390107,136.5
-22.71344850938167,-47.628499757127734,137.0
-22.713449053747357,-47.62850039552851,137.5
-22.71344959295333,-47.62850103905479,138.0
-22.713450126958534,-47.62850168765755,138.5
-22.713450655722294,-47.62850234128741,139.0
-22.713451179204352,-47.628502999894586,139.5
-22.713451697364835,-47.62850366342892,140.0
-22.713452210164284,-47.6285043318399,140.5
-22.713452717563655,-47.628505005076605,141.0
-22.713453219524297,-47.628505683087766,141.5
-22.71345371600799,-47.628506365821764,142.0
-22.713454206976927,-47.62850705322659,142.5
-22.71345469239371,-47.628507745249905,143.0
-22.713455172221384,-47.628508441839,143.5
-22.713455646423398,-47.62850914294084,144.0
-22.713456114963645,-47.62850984850203,144.5
-22.713456577806443,-47.62851055846883,145.0
-22.713457034916544,-47.62851127278718,145.5
-22.71345748625914,-47.62851199140268,146.0
-22.713457931799855,-47.62851271426061,146.5
-22.713458371504764,-47.62851344130591,147.0
-22.713458805340377,-47.62851417248323,147.5
-22.71345923327366,-47.62851490773687,148.0
-22.713459655272022,-47.62851564701084,148.5
-22.713460071303327,-47.628516390248855,149.0
-22.713460481335893,-47.628517137394304,149.5
-22.713460885338492,-47.62851788839029,150.0
-22.71346128328036,-47.628518643179625,150.5
-22.713461675131192,-47.62851940170483,151.0
-22.713462060861147,-47.628520163908135,151.5
-22.713462440440846,-47.62852092973149,152.0
-22.713462813841392,-47.62852169911659,152.5
-22.71346318103434,-47.62852247200483,153.0
-22.71346354199173,-47.628523248337366,153.5
-22.713463896686076,-47.62852402805506,154.0
-22.71346424509036,-47.62852481109854,154.5
-22.71346458717806,-47.628525597408185,155.0
-22.713464922923116,-47.6285263869241,155.5
-22.71346525229996,-47.628527179586165,156.0
-22.713465575283518,-47.628527975334016,156.5
-22.713465891849182,-47.62852877410705,157.0
-22.71346620197285,-47.62852957584445,157.5
-22.713466505630905,-47.62853038048515,158.0
-22.713466802800223,-47.62853118796787,158.5
-22.713467093458167,-47.62853199823113,159.0
-22.71346737758261,-47.62853281121322,159.5
-22.713467655151913,-47.62853362685222,160.0
-22.713467926144933,-47.62853444508602,160.5
-22.71346819054104,-47.628535265852314,161.0
-22.713468448320096,-47.62853608908859,161.5
-22.713468699462467,-47.628536914732166,162.0
-22.71346894394903,-47.628537742720155,162.5
-22.713469181761173,-47.62853857298951,163.0
-22.713469412880777,-47.628539405477,163.5
-22.713469637290242,-47.62854024011922,164.0
-22.71346985497248,-47.62854107685262,164.5
-22.713470065910915,-47.62854191561348,165.0
-22.713470270089484,-47.62854275633792,165.5
-22.713470467492634,-47.62854359896191,166.0
-22.713470658105336,-47.6285444434213,166.5
-22.71347084191307,-47.628545289651754,167.0
-22.713471018901842,-47.62854613758885,167.5
-22.713471189058172,-47.62854698716801,168.0
-22.7134713523691,-47.62854783832452,168.5
-22.713471508822195,-47.62854869099359,169.0
-22.71347165840554,-47.62854954511026,169.5
-22.71347180110774,-47.62855040060949,170.0
-22.71347193691793,-47.628551257426146,170.5
-22.71347206582577,-47.62855211549496,171.0
-22.713472187821438,-47.628552974750605,171.5
-22.713472302895646,-47.628553835127626,172.0
-22.713472411039636,-47.62855469656051,172.5
-22.71347251224516,-47.62855555898366,173.0
-22.713472606504524,-47.62855642233139,173.5
-22.713472693810544,-47.62855728653797,174.0
-22.71347277415657,-47.62855815153757,174.5
-22.713472847536487,-47.628559017264315,175.0
-22.713472913944702,-47.62855988365229,175.5
-22.713472973376163,-47.62856075063551,176.0
-22.71347302582634,-47.62856161814795,176.5
-22.71347307129124,-47.62856248612355,177.0
-22.7134731097674,-47.6285633544962,177.5
-22.713473141251892,-47.62856422319978,178.0
-22.713473165742318,-47.62856509216813,178.5
-22.71347318323681,-47.628565961335084,179.0
-22.71347319373404,-47.62856683063444,179.5
-22.713473197233203,-47.6285677,180.0
-22.71347319373404,-47.628568569365555,180.5
-22.71347318323681,-47.62856943866491,181.0
-22.713473165742318,-47.628570307831865,181.5
-22.713473141251892,-47.628571176800214,182.0
-22.7134731097674,-47.628572045503795,182.5
-22.71347307129124,-47.62857291387645,183.0
-22.71347302582634,-47.62857378185205,183.5
-22.713472973376163,-47.62857464936449,184.0
-22.713472913944702,-47.62857551634771,184.5
-22.713472847536487,-47.62857638273568,185.0
-22.71347277415657,-47.62857724846243,185.5
-22.713472693810544,-47.62857811346203,186.0
-22.713472606504524,-47.6285789776686,186.5
-22.71347251224516,-47.62857984101633,187.0
-22.713472411039636,-47.62858070343948,187.5
-22.713472302895646,-47.62858156487237,188.0
-22.713472187821438,-47.62858242524939,188.5
-22.71347206582577,-47.628583284505034,189.0
-22.71347193691793,-47.62858414257385,189.5
-22.71347180110774,-47.628584999390505,190.0
-22.71347165840554,-47.628585854889735,190.5
-22.713471508822195,-47.628586709006406,191.0
-22.7134713523691,-47.628587561675474,191.5
-22.713471189058172,-47.62858841283199,192.0
-22.713471018901842,-47.62858926241115,192.5
-22.71347084191307,-47.62859011034824,193.0
-22.713470658105336,-47.6285909565787,193.5
-22.713470467492634,-47.628591801038084,194.0
-22.713470270089484,-47.628592643662074,194.5
-22.713470065910915,-47.62859348438651,195.0
-22.71346985497248,-47.628594323147375,195.5
-22.713469637290242,-47.628595159880774,196.0
-22.713469412880777,-47.628595994522996,196.5
-22.713469181761173,-47.62859682701048,197.0
-22.71346894394903,-47.62859765727984,197.5
-22.713468699462467,-47.62859848526783,198.0
-22.713468448320096,-47.628599310911405,198.5
-22.71346819054104,-47.62860013414768,199.0
-22.713467926144933,-47.62860095491398,199.5
-22.713467655151913,-47.62860177314778,200.0
-22.71346737758261,-47.62860258878678,200.5
-22.713467093458167,-47.62860340176886,201.0
-22.713466802800223,-47.62860421203212,201.5
-22.713466505630905,-47.62860501951484,202.0
-22.71346620197285,-47.62860582415554,202.5
-22.713465891849182,-47.62860662589294,203.0
-22.713465575283518,-47.62860742466598,203.5
-22.71346525229996,-47.62860822041383,204.0
-22.713464922923116,-47.628609013075895,204.5
-22.71346458717806,-47.62860980259181,205.0
-22.71346424509036,-47.62861058890145,205.5
-22.713463896686076,-47.628611371944935,206.0
-22.71346354199173,-47.62861215166263,206.5
-22.71346318103434,-47.628612927995164,207.0
-22.713462813841392,-47.628613700883406,207.5
-22.713462440440846,-47.6286144702685,208.0
-22.713462060861147,-47.62861523609186,208.5
-22.713461675131192,-47.62861599829517,209.0
-22.71346128328036,-47.62861675682037,209.5
-22.713460885338492,-47.628617511609704,210.0
-22.713460481335893,-47.62861826260569,210.5
-22.713460071303327,-47.62861900975114,211.0
-22.713459655272022,-47.62861975298915,211.5
-22.71345923327366,-47.628620492263124,212.0
-22.713458805340377,-47.62862122751677,212.5
-22.713458371504764,-47.62862195869408,213.0
-22.713457931799855,-47.62862268573939,213.5
-22.71345748625914,-47.62862340859731,214.0
-22.713457034916544,-47.62862412721282,214.5
-22.713456577806443,-47.62862484153116,215.0
-22.713456114963645,-47.62862555149797,215.5
-22.713455646423398,-47.62862625705915,216.0
-22.713455172221384,-47.62862695816099,216.5
-22.71345469239371,-47.62862765475009,217.0
-22.713454206976927,-47.628628346773404,217.5
-22.71345371600799,-47.62862903417823,218.0
-22.713453219524297,-47.62862971691223,218.5
-22.713452717563655,-47.62863039492339,219.0
-22.713452210164284,-47.6286310681601,219.5
-22.713451697364835,-47.62863173657107,220.0
-22.713451179204352,-47.62863240010541,220.5
-22.713450655722294,-47.62863305871259,221.0
-22.713450126958534,-47.62863371234245,221.5
-22.71344959295333,-47.628634360945206,222.0
-22.713449053747357,-47.628635004471484,222.5
-22.71344850938167,-47.62863564287226,223.0
-22.71344795989773,-47.62863627609892,223.5
-22.713447405337384,-47.62863690410325,224.0
-22.713446845742858,-47.62863752683742,224.5
-22.71344628115677,-47.628638144254005,225.0
-22.713445711622118,-47.62863875630599,225.5
-22.713445137182266,-47.62863936294676,226.0
-22.71344455788097,-47.628639964130116,226.5
-22.713443973762338,-47.62864055981028,227.0
-22.71344338487086,-47.628641149941885,227.5
-22.713442791251378,-47.62864173448,228.0
-22.713442192949095,-47.6286423133801,228.5
-22.713441590009584,-47.6286428865981,229.0
-22.71344098247875,-47.62864345409035,229.5
-22.713440370402868,-47.628644015813634,230.0
-22.713439753828546,-47.62864457172517,230.5
-22.713439132802737,-47.628645121782625,231.0
-22.713438507372736,-47.62864566594412,231.5
-22.713437877586173,-47.6286462041682,232.0
-22.713437243491008,-47.628646736413884,232.5
-22.713436605135527,-47.62864726264064,233.0
-22.71343596256835,-47.62864778280839,233.5
-22.713435315838403,-47.628648296877536,234.0
-22.713434664994942,-47.628648804808904,234.5
-22.713434010087532,-47.62864930656384,235.0
-22.713433351166042,-47.62864980210411,235.5
-22.71343268828066,-47.628650291391985,236.0
-22.713432021481854,-47.62865077439021,236.5
-22.713431350820414,-47.628651251062,237.0
-22.71343067634741,-47.62865172137105,237.5
-22.713429998114204,-47.62865218528155,238.0
-22.71342931617245,-47.62865264275817,238.5
-22.71342863057408,-47.62865309376607,239.0
-22.7134279413713,-47.628653538270896,239.5
-22.713427248616604,-47.62865397623881,240.0
-22.713426552362737,-47.62865440763646,240.5
-22.71342585266273,-47.62865483243098,241.0
-22.71342514956987,-47.62865525059003,241.5
-22.71342444313769,-47.62865566208177,242.0
-22.713423733419994,-47.628656066874846,242.5
-22.713423020470827,-47.62865646493845,243.0
-22.713422304344487,-47.62865685624226,243.5
