ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad
100	1	-22.713.509.118.184.400	-47.628.509.011.119.600	542.801.513.671.875	2025-04-25T18:56:09Z																				
101	1	-22.713.519.763.201.400	-47.628.603.810.444.400	5.432.821.044.921.870	2025-04-25T18:56:14Z																				
102	1	-22.713.453.713.804.400	-47.628.664.998.337.600	542.801.513.671.875	2025-04-25T18:56:19Z																				
103	1	-22.713.365.368.545.000	-47.628.656.616.434.400	542.801.513.671.875	2025-04-25T18:56:24Z																				
104	1	-22.713.323.207.572.100	-47.628.574.641.421.400	5.437.628.173.828.120	2025-04-25T18:56:29Z																				
105	1	-22.713.361.931.964.700	-47.628.487.134.352.300	5.432.821.044.921.870	2025-04-25T18:56:34Z																				
106	1	-22.713.442.565.873.200	-47.628.467.520.698.900	5.432.821.044.921.870	2025-04-25T18:56:39Z																				
107	1	-22.713.509.285.822.500	-47.628.526.445.478.200	54.424.365.234.375	2025-04-25T18:56:44Z																				
108	1	-22.713.497.132.062.900	-47.628.619.819.879.500	54.424.365.234.375	2025-04-25T18:56:49Z																				
109	1	-22.713.429.993.018.500	-47.628.668.434.917.900	54.424.365.234.375	2025-04-25T18:56:54Z																				
110	1	-22.713.347.347.453.200	-47.628.637.589.514.200	5.437.628.173.828.120	2025-04-25T18:56:59Z																				
111	1	-22.713.329.493.999.400	-47.628.544.382.750.900	54.424.365.234.375	2025-04-25T18:57:04Z																				
112	1	-22.713.383.389.636.800	-47.628.469.113.260.500	5.432.821.044.921.870	2025-04-25T18:57:09Z																				
113	1	-22.713.467.124.849.500	-4.762.847.263.365.980	5.432.821.044.921.870	2025-04-25T18:57:14Z																				
114	1	-22.713.520.266.115.600	-47.628.545.053.303.200	54.424.365.234.375	2025-04-25T18:57:19Z																				
115	1	-22.713.501.239.195.400	-4.762.863.339.856.260	54.424.365.234.375	2025-04-25T18:57:24Z																				
116	1	-22.713.423.622.772.000	-47.628.672.206.774.300	54.424.365.234.375	2025-04-25T18:57:29Z																				
117	1	-22.713.342.402.130.300	-47.628.627.363.592.300	5.437.628.173.828.120	2025-04-25T18:57:34Z																				
118	1	-22.713.333.265.855.900	-47.628.536.503.762.000	5.432.821.044.921.870	2025-04-25T18:57:39Z																				
119	1	-22.713.395.711.034.500	-47.628.464.670.851.800	5.432.821.044.921.870	2025-04-25T18:57:44Z																				
120	1	-22.713.480.535.894.600	-47.628.478.249.534.900	5.437.628.173.828.120	2025-04-25T18:57:49Z																				
