ID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Proximity;Temperature;Depth;DisplayMode;Samples;Expiration;CreationTime;;;
42;-21.961.999.833.583.800;-47.469.333.233.311.700;641.801.025.390.625;2025-04-26T19:43:27Z;;;42;10/21/2014 15:44;10/21/2014 15:44;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
43;-21.962.064.793.333.400;-47.469.367.096.200.500;64.228.173.828.125;2025-04-26T19:43:27Z;;;43;10/21/2014 15:46;10/21/2014 15:46;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
44;-21.962.107.038.125.300;-47.469.397.857.785.200;64.252.197.265.625;2025-04-26T19:43:27Z;;;44;10/21/2014 15:47;10/21/2014 15:47;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
45;-21.962.153.222.411.800;-47.469.427.194.446.300;643.002.685.546.875;2025-04-26T19:43:27Z;;;45;10/21/2014 15:47;10/21/2014 15:47;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
46;-21.962.087.508.291.000;-47.469.158.889.725.800;643.002.685.546.875;2025-04-26T19:43:27Z;;;46;10/21/2014 15:49;10/21/2014 15:49;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
47;-21.962.071.666.494.000;-47.469.146.819.785.200;640.359.130.859.375;2025-04-26T19:43:27Z;;;47;10/21/2014 15:58;10/21/2014 15:58;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
48;-21.962.071.917.951.100;-47.469.129.469.245.600;637.955.810.546.875;2025-04-26T19:43:27Z;;;48;10/21/2014 16:00;10/21/2014 16:00;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
49;-21.962.067.978.456.600;-47.469.127.122.312.700;637.955.810.546.875;2025-04-26T19:43:27Z;;;49;10/21/2014 16:00;10/21/2014 16:00;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
50;-21.961.983.824.148.700;-47.469.467.343.762.500;;2025-04-26T19:43:27Z;;;50;08/21/1999 21:01;08/21/1999 21:01;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
51;-21.961.983.824.148.700;-47.469.467.343.762.500;;2025-04-26T19:43:27Z;;;51;08/21/1999 21:01;08/21/1999 21:01;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
52;-21.962.338.965.386.100;-47.469.543.199.986.200;6.437.236.328.125;2025-04-26T19:43:27Z;;;52;12/03/2014 15:51;12/03/2014 15:51;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
53;-21.962.338.713.929.000;-47.469.543.116.167.100;6.437.236.328.125;2025-04-26T19:43:27Z;;;53;12/03/2014 15:51;12/03/2014 15:51;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
54;-21.962.365.703.657.200;-47.469.513.360.410.900;645.886.474.609.375;2025-04-26T19:43:27Z;;;54;12/03/2014 15:51;12/03/2014 15:51;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
55;-2.196.234.030.649.060;-47.469.552.168.622.600;646.607.666.015.625;2025-04-26T19:43:27Z;;;55;12/03/2014 15:52;12/03/2014 15:52;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
56;-21.962.553.877.383.400;-47.469.230.052.083.700;650.693.115.234.375;2025-04-26T19:43:27Z;;;56;12/03/2014 15:54;12/03/2014 15:54;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
57;-21.962.222.959.846.200;-47.469.069.370.999.900;653.096.435.546.875;2025-04-26T19:43:27Z;;;57;12/03/2014 15:56;12/03/2014 15:56;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
