ID;trksegID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Temperature;Depth;wtemp;hr;cad
150;1;-22.713.334.187.865.200;-4.762.865.150.347.350;542.801.513.671.875;2025-04-23T14:01:36Z;;;;;;;;;;;;;;;;;;;;
151;1;-22.713.334.104.046.200;-4.762.865.150.347.350;542.801.513.671.875;2025-04-23T14:01:41Z;;;;;;;;;;;;;;;;;;;;
152;1;-22.713.334.020.227.100;-4.762.865.150.347.350;542.801.513.671.875;2025-04-23T14:01:46Z;;;;;;;;;;;;;;;;;;;;
153;1;-2.271.333.385.258.910;-47.628.651.335.835.400;542.801.513.671.875;2025-04-23T14:01:51Z;;;;;;;;;;;;;;;;;;;;
154;1;-2.271.333.385.258.910;-47.628.651.252.016.400;542.801.513.671.875;2025-04-23T14:01:56Z;;;;;;;;;;;;;;;;;;;;
155;1;-2.271.333.385.258.910;-47.628.651.252.016.400;542.801.513.671.875;2025-04-23T14:02:01Z;;;;;;;;;;;;;;;;;;;;
156;1;-22.713.333.936.408.100;-47.628.651.084.378.300;542.801.513.671.875;2025-04-23T14:02:06Z;;;;;;;;;;;;;;;;;;;;
157;1;-22.713.334.104.046.200;-47.628.650.916.740.200;542.801.513.671.875;2025-04-23T14:02:11Z;;;;;;;;;;;;;;;;;;;;
158;1;-22.713.334.187.865.200;-47.628.650.749.102.200;542.801.513.671.875;2025-04-23T14:02:16Z;;;;;;;;;;;;;;;;;;;;
159;1;-22.713.334.355.503.300;-47.628.650.581.464.100;542.801.513.671.875;2025-04-23T14:02:21Z;;;;;;;;;;;;;;;;;;;;
160;1;-22.713.334.523.141.300;-47.628.650.330.007.000;542.801.513.671.875;2025-04-23T14:02:26Z;;;;;;;;;;;;;;;;;;;;
161;1;-22.713.334.690.779.400;-47.628.650.162.369.000;542.801.513.671.875;2025-04-23T14:02:31Z;;;;;;;;;;;;;;;;;;;;
162;1;-22.713.334.774.598.400;-47.628.649.994.730.900;542.801.513.671.875;2025-04-23T14:02:36Z;;;;;;;;;;;;;;;;;;;;
